Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,H,xH,1B,x1B,2B,x2B,3B,x3B,HR,xHR,XBH,xXBH
129,1908498512,I. Koosman,Ian Koosman,Koosman,Ian,P,Creighton University,CREI,730243840,Creighton,BBC,R,R,19,261,221,49,57.6,38,40.1,7,11.0,0,0.0,4,5.0,11,13.6
130,1515769016,E. Smith,Ethan Smith,Smith,Ethan,P,Lindenwood University,LU,730322176,Lindenwood,BBC,L,L,14,301,262,65,75.5,52,55.1,9,14.0,0,0.0,4,5.0,13,16.6
131,1178715648,S. Heyman,Sam Heyman,Heyman,Sam,P,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,14,295,251,74,72.4,55,54.1,12,12.1,2,0.0,5,5.1,19,14.6
132,1310134016,N. Luckett,Nick Luckett,Luckett,Nick,P,Southern University,SOU,4767,Southern,BBC,R,R,15,425,370,109,167.7,83,136.6,14,24.0,4,0.0,8,5.1,26,25.3
133,1142967552,J. DeCastro,Justin DeCastro,DeCastro,Justin,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,15,405,335,100,89.2,69,64.5,17,18.0,0,0.0,8,5.1,25,19.1
134,1202718208,E. Dempsey,Evan Dempsey,Dempsey,Evan,TWP,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,15,288,253,57,67.6,51,51.6,3,9.9,0,0.0,3,5.1,6,13.2
135,1258983680,M. Bayles,Max Bayles,Bayles,Max,P,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,15,299,259,60,57.7,46,42.8,6,8.9,0,0.0,8,5.1,14,12.1
136,1311020288,J. Volchko,Joey Volchko,Volchko,Joey,P,Stanford University,STAN,730251264,Stanford,BBC,R,R,15,324,282,79,82.2,59,64.0,14,11.7,2,0.0,4,5.1,20,14.6
137,1100603904,T. Beard,Trey Beard,Beard,Trey,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,L,16,350,307,61,63.2,43,42.6,12,14.1,1,0.0,5,5.1,18,16.8
138,1105311232,B. Bendik,Brady Bendik,Bendik,Brady,P,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,13,318,274,62,63.1,42,42.4,17,14.3,2,0.0,1,5.1,20,16.7
139,1309474816,C. Leys,Caleb Leys,Leys,Caleb,P,University of Maine,ME,730275840,Maine,BBC,R,L,14,279,244,56,54.5,47,38.2,8,9.8,1,0.0,0,5.1,9,13.0
140,1203293440,B. Wilson,Bradley Wilson,Wilson,Bradley,P,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,24,297,265,69,65.3,51,47.8,15,10.9,1,0.0,2,5.2,18,14.4
141,1885727262,M. Vallone,Michael Vallone,Vallone,Michael,P,Purdue University,PUR,730353152,Purdue,BBC,L,L,21,254,219,49,50.7,34,35.2,10,9.3,1,0.0,4,5.2,15,12.5
142,1432381131,B. Lobell,Blake Lobell,Lobell,Blake,P,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,13,284,254,68,74.8,52,53.5,9,14.4,1,0.0,6,5.2,16,17.5
143,1204042240,H. Elliott,Hunter Elliott,Elliott,Hunter,P,University of Mississippi,MISS,5322,Ole Miss,BBC,L,L,17,361,299,59,60.7,41,42.2,12,11.9,2,0.0,4,5.2,18,14.2
144,1795608420,T. Carey,Tate Carey,Carey,Tate,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,18,241,214,51,59.2,39,41.2,8,11.6,0,0.0,4,5.2,12,15.0
145,1311551232,C. OHara,Connor OHara,OHara,Connor,P,George Mason University,GMU,730265088,George Mason,BBC,R,R,17,374,334,76,87.9,57,63.9,15,17.1,1,0.0,3,5.2,19,20.0
146,1349689556,R. Mealy,Ryan Mealy,Mealy,Ryan,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,15,292,266,75,77.4,60,54.8,11,15.9,1,0.0,3,5.3,15,19.3
147,1200236800,H. Boncal,Hudson Boncal,Boncal,Hudson,P,Ohio University,OHIO,730298368,Ohio,BBC,R,R,14,368,309,83,90.2,62,71.0,15,12.6,1,0.0,5,5.3,21,15.0
148,1396741102,L. Grigg,Landon Grigg,Grigg,Landon,P,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,17,274,239,82,75.5,60,55.7,15,13.0,2,0.0,5,5.3,22,16.0
149,1084034304,E. Rodriguez,Esteban Rodriguez,Rodriguez,Esteban,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,14,265,224,58,64.7,42,46.6,11,11.5,0,0.0,5,5.3,16,14.2
150,1279379456,I. Magdaleno,Isaiah Magdaleno,Magdaleno,Isaiah,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,24,242,224,46,45.7,30,28.0,9,10.9,1,0.0,6,5.3,16,15.0
151,1250615738,J. Leary,Jack Leary,Leary,Jack,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,22,343,287,80,84.1,54,59.0,21,18.3,1,0.0,4,5.4,26,19.8
152,1195612672,B. Pruett,Brad Pruett,Pruett,Brad,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,28,285,241,54,55.9,43,40.3,6,9.3,0,0.0,5,5.4,11,12.4
153,1018912519,K. Ishikawa,Kenny Ishikawa,Ishikawa,Kenny,TWP,Seattle University,SEA,4504,Seattle,BBC,L,L,19,303,270,82,73.7,54,49.3,18,17.5,4,0.0,6,5.4,28,20.4
154,1105525504,O. Sarna,Owen Sarna,Sarna,Owen,P,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,18,290,257,75,71.5,51,51.0,17,13.6,2,0.0,5,5.4,24,16.9
155,1281671425,R. Bertram,Reid Bertram,Bertram,Reid,P,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,L,L,17,275,236,78,77.8,50,55.5,17,15.3,1,0.0,10,5.4,28,17.7
156,1006945294,A. Ciscar,AJ Ciscar,Ciscar,AJ,P,University of Miami,MIA,236,Miami,BBC,R,R,21,290,252,56,66.1,42,48.6,8,11.3,0,0.0,6,5.4,14,14.5
157,1195514368,J. Cline,Jack Cline,Cline,Jack,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,17,372,323,83,79.1,53,55.9,18,16.1,2,0.0,10,5.4,30,18.7
158,1058739885,L. Pearson,Lane Pearson,Pearson,Lane,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,360,318,81,48.7,59,26.2,13,14.8,3,0.0,6,5.4,22,17.9
159,1279533312,C. Dygert,Caylon Dygert,Dygert,Caylon,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,368,338,96,95.1,68,70.8,19,17.2,3,0.0,6,5.4,28,20.8
160,1564722927,A. Sparks,Alec Sparks,Sparks,Alec,P,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,12,305,269,59,59.2,44,43.3,9,9.4,0,0.0,6,5.5,15,13.1
161,1294172672,B. Magovern,Ben Magovern,Magovern,Ben,P,Bucknell University,BUCK,730214144,Bucknell,BBC,L,L,12,253,219,64,63.0,47,43.9,9,12.4,1,0.0,7,5.5,17,15.5
162,1260237537,J. Ohman,Jack Ohman,Ohman,Jack,P,Yale University,YALE,730334464,Yale,BBC,L,R,12,288,258,45,53.6,32,35.1,9,11.5,0,0.0,4,5.5,13,15.2
163,1104573440,L. Nichols,Luke Nichols,Nichols,Luke,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,25,274,241,71,65.7,49,50.3,15,9.0,3,0.0,4,5.5,22,12.8
164,1143046400,E. Marks,Easton Marks,Marks,Easton,P,Florida International University,FIU,4468,Florida International,BBC,R,R,14,300,254,59,61.7,43,41.6,10,13.2,1,0.0,5,5.5,16,15.8
165,1297349632,M. Scott,Matt Scott,Scott,Matt,P,Stanford University,STAN,730251264,Stanford,BBC,R,R,11,244,218,67,56.2,50,37.4,12,12.2,1,0.0,4,5.5,17,15.8
166,1115419904,J. Bergman,Jackson Bergman,Bergman,Jackson,P,University of Toledo,TOL,5388,Toledo,BBC,L,R,16,292,249,62,71.3,43,52.5,14,12.2,0,0.0,5,5.5,19,15.1
167,1342170423,N. Varnier,Nathaniel Varnier,Varnier,Nathaniel,P,Norfolk State University,NORF,3904,Norfolk State,BBC,L,L,13,323,253,69,39.1,49,30.7,11,2.6,0,0.0,9,5.5,20,6.4
168,1239087872,T. Bremner,Tyler Bremner,Bremner,Tyler,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,14,310,279,61,55.2,43,37.7,12,10.7,1,0.0,5,5.5,18,14.6
169,1180787200,A. Roblez,Albert Roblez,Roblez,Albert,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,19,243,202,34,39.7,18,20.8,10,12.5,2,0.0,4,5.5,16,15.0
170,1227043072,D. West,Dakoda West,West,Dakoda,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,14,278,240,63,75.3,44,54.7,12,13.9,1,0.0,6,5.5,19,16.8
171,1692575936,L. Glidewell,Lyndon Glidewell,Glidewell,Lyndon,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,14,338,283,61,72.0,45,51.6,12,13.8,0,0.0,4,5.5,16,16.2
172,1152937984,I. Umlandt,Ian Umlandt,Umlandt,Ian,P,University of Oregon,ORE,4807,Oregon,BBC,L,L,18,265,239,66,72.9,48,50.4,13,15.8,0,0.0,5,5.6,18,19.3
173,1303167488,D. Whalen,Drew Whalen,Whalen,Drew,P,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,16,350,302,71,76.1,51,54.6,13,14.8,2,0.0,5,5.6,20,17.6
174,1207755520,J. Gehring,Jacob Gehring,Gehring,Jacob,P,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,12,291,249,76,67.6,51,46.3,15,14.7,5,0.0,5,5.6,25,17.4
175,1065548722,A. Laine,Avery Laine,Laine,Avery,P,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,R,17,304,263,78,67.6,54,44.6,15,16.1,2,0.0,7,5.6,24,18.8
176,1290508544,J. Bennett,Jack Bennett,Bennett,Jack,P,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,14,275,247,62,69.4,45,50.5,10,11.9,0,0.0,7,5.6,17,15.7
177,1739007204,B. Weber,Ben Weber,Weber,Ben,P,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,17,347,293,68,68.0,47,50.4,15,10.7,1,0.0,5,5.7,21,13.8
178,1263546112,K. Braziel,Kewan Braziel,Braziel,Kewan,P,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,L,18,306,266,89,77.3,60,47.6,17,22.3,3,0.0,9,5.7,29,24.4
179,1239205376,M. Van Alstine,Marcus Van Alstine,Van Alstine,Marcus,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,22,270,239,78,69.0,56,50.9,15,11.4,2,0.0,5,5.7,22,15.2
180,1310848000,N. Remy,Nick Remy,Remy,Nick,P,UMBC,UMBC,730210304,UMBC,BBC,R,R,21,200,183,36,37.1,18,21.0,13,9.5,1,0.0,4,5.8,18,14.0
181,1225968640,B. Moore,Ben Moore,Moore,Ben,P,Old Dominion University,ODU,3090,Old Dominion,BBC,L,L,16,309,253,74,71.9,53,48.4,15,16.1,1,0.0,5,5.8,21,18.0
182,1099159040,N. Lawson,Nathan Lawson,Lawson,Nathan,P,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,22,267,230,73,66.4,45,47.3,19,12.1,0,0.0,9,5.8,28,15.5
183,1497321367,M. Sipila,Marko Sipila,Sipila,Marko,P,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,12,322,277,71,67.9,53,47.9,10,12.8,3,0.0,5,5.9,18,16.0
184,1207790848,A. Williams,Andrew Williams,Williams,Andrew,P,Georgetown University,GTWN,2330,Georgetown,BBC,L,L,14,340,297,85,88.9,58,62.0,17,19.5,1,0.0,9,5.9,27,22.2
185,1683462800,C. McClendon,Calvin McClendon,McClendon,Calvin,P,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,L,16,332,292,90,102.2,58,72.2,20,21.9,2,0.0,10,5.9,32,24.4
186,1162067200,E. Sargent,Eddie Sargent,Sargent,Eddie,P,UMBC,UMBC,730210304,UMBC,BBC,L,L,13,257,230,71,64.2,50,44.8,11,12.1,2,0.0,8,5.9,21,16.1
187,1342168472,T. Williams,Tyrell Williams,Williams,Tyrell,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,16,249,214,57,57.8,34,35.6,19,15.0,0,0.0,4,5.9,23,17.9
188,1314894592,C. Fink,Carter Fink,Fink,Carter,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,16,335,295,88,81.7,67,59.6,13,14.5,1,0.0,7,5.9,21,18.0
189,1212105985,C. Van Assen,Cole Van Assen,Van Assen,Cole,P,Purdue University,PUR,730353152,Purdue,BBC,R,R,15,297,260,76,82.1,55,58.0,18,16.7,1,0.0,2,5.9,21,19.8
190,1269484032,A. Steinhaus,Andrew Steinhaus,Steinhaus,Andrew,P,Radford University,RAD,730267392,Radford,BBC,R,R,20,275,220,63,60.7,38,41.7,17,11.5,1,0.0,7,6.0,25,14.0
191,1334328832,J. Hartlaub,Jacob Hartlaub,Hartlaub,Jacob,P,Ball State University,BALL,730195456,Ball State,BBC,R,R,15,358,320,88,80.0,58,51.2,21,21.2,0,0.0,9,6.0,30,24.3
192,1268530176,R. Easterly,Reid Easterly,Easterly,Reid,P,Duke University,DUKE,730336256,Duke,BBC,L,L,37,312,278,64,76.6,51,57.4,7,11.8,0,0.0,6,6.1,13,15.9
193,1062087691,W. Walton,Wade Walton,Walton,Wade,P,High Point University,HP,730321152,High Point,BBC,R,R,15,365,318,80,82.2,52,57.7,14,16.7,2,0.0,12,6.1,28,19.9
194,1597386236,L. Cooley,Luke Cooley,Cooley,Luke,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,16,291,252,68,74.5,51,54.1,12,12.9,1,0.0,4,6.1,17,16.5
195,1264174592,E. Elliott,Eric Elliott,Elliott,Eric,P,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,18,322,260,53,53.3,45,26.3,5,19.4,1,0.0,2,6.2,8,20.7
196,1275960320,F. OBrien,Finbar O'Brien,OBrien,Finbar,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,R,16,331,279,75,78.6,51,58.7,10,12.3,3,0.0,11,6.2,24,15.6
197,1342168577,J. Shadek,Justin Shadek,Shadek,Justin,P,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,15,292,234,68,64.9,51,45.0,9,12.6,1,0.0,7,6.2,17,15.0
198,1191087360,M. Alduino,Matt Alduino,Alduino,Matt,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,L,20,284,225,59,55.6,42,34.8,10,13.7,3,0.0,4,6.2,17,15.8
199,1271444225,R. Hunsaker,Riely Hunsaker,Hunsaker,Riely,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,14,320,293,72,70.7,53,49.2,12,14.0,2,0.0,5,6.2,19,18.5
200,1261138697,G. Sentell,Gavin Sentell,Sentell,Gavin,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,R,14,246,216,65,55.7,42,39.6,17,8.6,1,0.0,5,6.2,23,13.0
201,1243499776,N. Isler,Nate Isler,Isler,Nate,P,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,10,258,221,70,60.3,45,39.0,14,13.3,4,0.0,7,6.2,25,16.7
202,1257329152,N. Chapman,Noah Chapman,Chapman,Noah,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,L,21,292,257,71,73.4,46,50.6,17,15.2,1,0.0,7,6.3,25,18.9
203,1211982848,S. Gottam,Santhosh Gottam,Gottam,Santhosh,P,Brown University,BRWN,730236160,Brown,BBC,R,R,14,283,253,71,72.6,49,49.2,12,15.9,4,0.0,6,6.3,22,19.8
204,1937598904,D. Boruff,Dalton Boruff,Boruff,Dalton,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,22,254,217,63,53.3,43,36.4,8,9.4,3,0.0,9,6.3,20,13.4
205,1342169627,R. Piech,Ryan Piech,Piech,Ryan,P,Xavier University,XAV,5464,Xavier,BBC,R,R,14,270,209,38,40.6,25,24.5,7,8.7,0,0.0,6,6.3,13,11.6
206,1092635904,C. Cosper,Colton Cosper,Cosper,Colton,P,Mercer University,MER,730240512,Mercer,BBC,L,L,16,362,336,88,94.7,65,68.7,14,18.0,2,0.0,7,6.3,23,22.5
207,1297348096,K. McCoy,Kyle McCoy,McCoy,Kyle,P,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,L,14,366,336,91,90.3,59,61.2,26,21.0,1,0.0,5,6.3,32,25.1
208,1094321664,J. Edwards,Jagger Edwards,Edwards,Jagger,P,Columbia University,CLMB,730319104,Columbia,BBC,L,L,14,271,236,68,60.7,51,44.0,6,9.2,3,0.0,8,6.3,17,13.5
209,1302032384,J. Weaver,Jacob Weaver,Weaver,Jacob,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,15,312,268,70,76.2,51,53.9,12,14.6,0,0.0,7,6.3,19,17.9
210,1172425216,O. Kelly,Owen Kelly,Kelly,Owen,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,15,356,302,79,75.5,66,55.4,6,12.4,0,0.0,7,6.3,13,15.9
211,1238136064,K. Barr,Kurt Barr,Barr,Kurt,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,16,323,274,72,74.7,50,53.8,14,13.3,2,0.0,6,6.3,22,16.7
212,1162333952,M. Pesca,Mario Pesca,Pesca,Mario,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,22,291,257,67,69.8,43,50.8,15,11.6,2,0.0,7,6.3,24,15.8
213,1172966144,P. Hampton,Parker Hampton,Hampton,Parker,P,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,13,283,232,77,55.4,59,42.2,13,5.4,2,0.0,3,6.4,18,9.6
214,1080063269,C. OBrien,Cole OBrien,OBrien,Cole,P,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,17,287,235,62,62.6,44,41.2,13,13.7,2,0.0,3,6.4,18,16.5
215,1077994240,J. Katz,Josh Katz,Katz,Josh,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,13,227,203,69,62.3,46,41.4,17,13.5,0,0.0,6,6.4,23,17.8
216,1136097280,A. Stanley,Andrew Stanley,Stanley,Andrew,P,The Citadel,CIT,730366720,The Citadel,BBC,R,R,17,317,279,74,82.0,50,55.8,16,18.5,2,0.0,6,6.4,24,21.9
217,1311025920,J. Thomas,Jackson Thomas,Thomas,Jackson,P,University of Washington,WASH,3110,Washington,BBC,R,R,15,325,283,78,73.9,55,49.0,14,16.7,3,0.0,6,6.4,23,20.2
218,1100119040,P. Gubler,Payton Gubler,Gubler,Payton,P,Brigham Young University,BYU,730257152,BYU,BBC,R,R,12,264,212,55,60.0,34,40.9,15,11.4,2,0.0,4,6.4,21,14.3
219,1225719296,C. Proskey,Calvin Proskey,Proskey,Calvin,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,14,287,257,65,69.8,45,49.6,12,12.5,1,0.0,7,6.4,20,17.0
220,1162110976,C. Mayfield,Carson Mayfield,Mayfield,Carson,P,Cornell University,COR,730298624,Cornell,BBC,R,R,11,265,215,41,49.7,29,35.3,3,7.1,1,0.0,8,6.5,12,11.0
221,1152936192,I. Lyon,Isaac Lyon,Lyon,Isaac,P,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,15,392,347,101,95.5,78,68.9,18,18.3,1,0.0,4,6.5,23,21.9
222,1279505152,A. Petraitis,AJ Petraitis,Petraitis,AJ,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,14,347,296,80,85.4,59,65.9,13,11.7,0,0.0,8,6.5,21,15.5
223,1307084033,R. Hall,Regan Hall,Hall,Regan,P,University of Illinois,ILL,730163456,Illinois,BBC,L,L,14,303,269,81,78.3,53,52.8,19,17.4,1,0.0,8,6.5,28,21.3
224,1404806932,E. Young,Ethan Young,Young,Ethan,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,23,303,255,57,59.0,39,38.5,9,12.8,0,0.0,9,6.5,18,16.3
225,1297496064,I. Fix,Isaac Fix,Fix,Isaac,P,Davidson College,DAV,730363136,Davidson,BBC,R,L,16,334,270,79,71.4,59,49.6,10,14.0,0,0.0,10,6.5,20,16.6
226,1004454230,M. Delvecchio,Matthew Delvecchio,Delvecchio,Matthew,P,Niagara University,NIAG,730156544,Niagara,BBC,R,R,17,380,325,85,97.7,59,58.0,18,30.3,2,0.0,6,6.5,26,31.5
227,1188014592,T. Pauley,Truman Pauley,Pauley,Truman,P,Harvard University,HARV,5450,Harvard,BBC,R,R,14,315,246,42,45.1,26,28.5,8,9.1,1,0.0,7,6.6,16,12.2
228,1303094016,D. Stanley,Drew Stanley,Stanley,Drew,P,Radford University,RAD,730267392,Radford,BBC,R,R,21,305,259,86,78.9,58,58.8,15,12.2,2,0.0,11,6.6,28,16.0
229,1098310656,J. Bean,Jacob Bean,Bean,Jacob,P,Kent State University,KENT,730315008,Kent State,BBC,R,R,15,328,286,72,70.9,47,46.3,15,16.7,3,0.0,7,6.6,25,20.3
230,1201847438,K. Hawks,Kamden Hawks,Hawks,Kamden,P,Morehead State University,MORE,730158080,Morehead State,BBC,L,L,14,291,216,53,54.5,35,40.2,9,6.9,0,0.0,9,6.6,18,10.1
231,1210662144,M. Mariano,Matthew Mariano,Mariano,Matthew,P,University at Albany,ALBY,730280448,Albany,BBC,R,R,20,293,244,71,71.1,52,52.3,15,10.7,0,0.0,4,6.6,19,14.4
232,1341316352,R. Kittredge,Ryan Kittredge,Kittredge,Ryan,P,California Baptist University,CBU,5091,California Baptist,BBC,R,R,19,325,273,59,70.1,43,49.6,10,12.4,0,0.0,6,6.6,16,16.0
233,1313502976,G. Edwards,Grant Edwards,Edwards,Grant,P,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,15,339,299,71,72.2,51,54.6,14,9.9,1,0.0,5,6.6,20,14.6
234,1185097984,C. Braun,Corey Braun,Braun,Corey,P,University of South Florida,USF,2292,South Florida,BBC,L,L,16,402,362,83,84.7,59,60.8,13,15.5,1,0.0,10,6.7,24,20.0
235,1330401536,B. Baker,Bowen Baker,Baker,Bowen,P,Fairfield University,FAIR,730380544,Fairfield,BBC,L,L,16,341,301,76,89.2,50,58.7,16,21.3,1,0.0,9,6.7,26,24.8
236,1146468608,M. Foltz,Michael Foltz,Foltz,Michael,P,George Washington University,GW,730249216,George Washington,BBC,L,L,14,355,302,92,89.9,69,67.8,16,14.0,1,0.0,6,6.7,23,17.6
237,1238131200,J. Gatti,J.J. Gatti,Gatti,J.J.,P,University of Dayton,DAY,730194688,Dayton,BBC,R,R,16,306,250,68,70.8,44,48.4,17,14.0,1,0.0,6,6.7,24,17.0
238,1276142592,B. Alekson,Ben Alekson,Alekson,Ben,P,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,16,393,349,81,90.7,60,66.7,15,15.2,2,0.0,4,6.7,21,19.5
239,1294886144,J. Ritz,Justin Ritz,Ritz,Justin,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,27,244,208,46,57.0,33,41.2,9,7.9,2,0.0,2,6.8,13,12.5
240,1665927471,W. Magers,Wilson Magers,Magers,Wilson,P,Creighton University,CREI,730243840,Creighton,BBC,R,R,16,314,249,54,67.2,40,48.5,8,10.9,0,0.0,6,6.8,14,14.0
241,1262862080,C. Morgan,Chase Morgan,Morgan,Chase,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,13,270,236,60,58.2,45,39.7,10,10.7,1,0.0,4,6.8,15,15.3
242,1143044608,J. Burcham,Jake Burcham,Burcham,Jake,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,321,280,91,79.1,65,58.8,18,11.9,1,0.0,7,6.8,26,16.3
243,1254299136,J. Flora,Jackson Flora,Flora,Jackson,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,13,309,277,58,53.0,41,35.2,8,10.0,2,0.0,7,6.8,17,15.0
244,1909941695,O. Pudvar,Oliver Pudvar,Pudvar,Oliver,P,University of Connecticut,CONN,5486,Connecticut,BBC,L,L,14,302,259,61,56.9,42,39.5,12,9.7,0,0.0,7,6.8,19,14.1
245,1351173671,M. Belcher,Michael Belcher,Belcher,Michael,P,Bryant University,BRY,730266880,Bryant,BBC,R,R,14,282,253,63,64.0,39,44.5,15,11.5,1,0.0,8,6.9,24,16.5
246,1275958784,E. Hoffberg,Erik Hoffberg,Hoffberg,Erik,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,23,242,196,45,42.3,23,25.9,13,8.3,2,0.0,7,6.9,22,12.3
247,1310380288,B. Poynter,Bradley Poynter,Poynter,Bradley,P,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,14,287,257,96,73.4,70,53.2,12,11.8,2,0.0,12,7.0,26,16.8
248,1298785536,M. Kuhle,Max Kuhle,Kuhle,Max,P,James Madison University,JMU,730340096,James Madison,BBC,L,L,19,240,209,51,54.4,30,35.8,11,10.5,4,0.0,6,7.0,21,15.2
249,1313846272,D. Lavelle,Declan Lavelle,Lavelle,Declan,P,Elon University,ELON,730252544,Elon,BBC,R,R,15,367,332,89,85.1,57,57.4,22,18.8,3,0.0,7,7.0,32,23.4
250,1235307520,E. Foster,Elijah Foster,Foster,Elijah,P,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,15,340,267,58,77.6,41,56.7,9,12.3,1,0.0,7,7.0,17,15.1
251,1580046011,E. Lay,Ethan Lay,Lay,Ethan,P,Sacramento State University,SAC,730293760,Sacramento State,BBC,L,R,14,320,298,78,74.5,57,52.2,15,14.0,0,0.0,6,7.0,21,19.5
252,1278843253,T. Teixeira,Tim Teixeira,Teixeira,Tim,P,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,15,334,278,75,73.4,56,57.5,13,8.1,0,0.0,6,7.0,19,12.6
253,1158279680,B. Frederick,Brady Frederick,Frederick,Brady,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,24,305,273,50,63.7,27,40.5,15,14.6,0,0.0,8,7.0,23,19.4
254,1082443399,C. Moak,Clint Moak,Moak,Clint,P,Marshall University,MRSH,730333696,Marshall,BBC,R,R,19,282,243,71,74.2,44,49.3,21,16.3,1,0.0,5,7.0,27,20.1
255,1056444835,M. Smith,Mason Smith,Smith,Mason,P,Campbell University,CAMP,730187776,Campbell,BBC,R,R,14,286,235,64,62.4,45,42.3,11,11.8,2,0.0,6,7.1,19,15.5
256,1312932352,C. New,Cody New,New,Cody,P,California Baptist University,CBU,5091,California Baptist,BBC,L,L,16,346,300,65,68.7,45,45.3,14,14.8,0,0.0,6,7.1,20,19.0
257,1337608237,M. OBrien,Matthew OBrien,OBrien,Matthew,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,20,292,253,80,75.9,56,53.0,14,14.4,4,0.0,6,7.1,24,18.6
258,1238278144,R. Bassinger,Reese Bassinger,Bassinger,Reese,P,West Virginia University,WVU,5327,West Virginia,BBC,R,R,30,269,234,63,63.7,39,39.8,16,15.1,2,0.0,6,7.1,24,19.3
